"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","942","84","42039","3177","97.1","2.6","41760","2669","1.0","1.7","14750","89575","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","1.9","1.7","46250","4926","1.6","1.4","7344","31121","96.0","2.9","41941","3306","2.5","1.8","25417","8341","28.9","5.5","46071","8427","39.5","5.1","55000","10575","29.1","5.1","30000","4612","673","74","51964","9611","32.2","6.0","42330","19995","67.8","6.0","56250","11919","77.0","7.0","61250","4791","11.7","4.5","21016","3274","11.3","5.5","36300","6356","269","51","27250","6095","49.8","9.0","24833","7274","46.1","9.4","24000","7244","3.7","2.8","36250","2307","50.2","9.0","30417","10569","43.9","9.1","26538","9422","6.3","6.6","72321","2276","24.6","-888888888.0","(X)","-888888888","26.2","-888888888.0","(X)","(X)","18.2","-888888888.0","(X)","(X)",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","680","70","44828","5771","91.9","4.7","45069","6982","0.0","5.0","-","-222222222","0.0","5.0","-","-222222222","0.3","0.5","-","-222222222","0.0","5.0","-","-222222222","3.8","3.3","58750","56896","4.0","3.1","9485","49045","5.9","3.8","41250","24564","89.9","4.9","46042","7149","2.9","2.5","19167","35596","30.1","6.5","51343","17777","43.2","8.3","35375","5591","23.7","6.0","50313","18195","483","62","49625","6115","50.9","8.5","45000","12790","49.1","8.5","50913","3825","83.0","8.6","52813","6161","8.7","6.9","25250","13137","8.3","5.2","50385","35813","197","61","27083","10015","51.3","14.2","15179","13219","48.7","14.7","13333","13073","2.5","4.2","-","-222222222","48.7","14.2","35000","4950","35.0","11.9","33482","5487","13.7","9.7","50089","24422","25.0","-888888888.0","(X)","-888888888","26.3","-888888888.0","(X)","(X)","12.2","-888888888.0","(X)","(X)",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1635","131","41686","5112","60.9","8.8","46069","6084","0.0","2.1","-","-222222222","0.0","2.1","-","-222222222","1.3","1.3","-","-222222222","0.0","2.1","-","-222222222","37.1","8.9","36462","13145","0.7","1.3","-","-222222222","56.9","5.9","35747","6132","41.7","5.7","64500","14867","5.5","3.5","35086","49826","43.6","6.0","40142","10287","33.0","6.0","52500","13292","17.9","4.7","35893","28256","1482","137","42917","6350","59.2","6.8","35986","9322","40.8","6.8","54327","12139","80.4","7.0","41592","4581","12.3","6.2","32386","41445","7.3","3.8","53864","13666","153","86","25951","5881","65.4","27.1","26750","9869","38.6","24.7","25042","9896","26.8","27.1","36708","39749","34.6","27.1","19708","11274","34.6","27.1","19708","11274","0.0","20.3","-","-222222222","29.1","-888888888.0","(X)","-888888888","29.5","-888888888.0","(X)","(X)","25.5","-888888888.0","(X)","(X)",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","946","113","39013","4462","67.9","10.6","39605","8765","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","0.0","3.6","-","-222222222","29.0","11.6","32083","30683","3.2","4.7","-","-222222222","58.7","8.5","38931","6118","41.3","8.5","40625","17683","12.2","5.5","21691","36684","42.8","8.7","39692","13824","24.2","8.2","65417","30860","20.8","7.6","19188","12004","722","98","44904","8215","47.1","9.4","33026","15721","52.9","9.4","50139","11901","65.5","8.7","52159","15058","31.3","9.6","16797","10356","3.2","4.0","29712","85835","224","84","22206","7096","49.6","18.8","18750","6442","49.6","18.8","18750","6442","0.0","14.4","-","-222222222","50.4","18.8","30764","15269","35.7","17.3","22708","10244","14.7","20.0","-","-222222222","18.7","-888888888.0","(X)","-888888888","18.6","-888888888.0","(X)","(X)","19.2","-888888888.0","(X)","(X)",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1396","137","35529","5877","52.1","9.0","42589","8370","0.0","2.5","-","-222222222","4.4","4.3","7348","47861","0.0","2.5","-","-222222222","0.0","2.5","-","-222222222","37.2","8.9","33534","9207","6.2","4.5","50625","42741","72.3","6.4","33350","4885","27.7","6.4","63884","13812","8.9","5.0","18409","16054","40.6","7.8","40516","10583","33.9","7.1","56513","15141","16.6","4.6","25900","12540","1238","128","37308","7457","61.3","9.2","40141","9581","38.7","9.2","36319","15308","70.0","9.2","48816","12279","18.1","5.9","17857","9341","12.0","7.0","34821","12409","158","85","17273","9960","81.6","19.0","17386","9297","72.2","21.1","18958","11354","9.5","15.5","-","-222222222","18.4","19.0","12417","127297","18.4","19.0","12417","127297","0.0","19.7","-","-222222222","32.7","-888888888.0","(X)","-888888888","36.1","-888888888.0","(X)","(X)","5.7","-888888888.0","(X)","(X)",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1554","111","57091","4686","98.5","1.6","57364","4745","0.0","2.2","-","-222222222","1.4","1.6","26458","51452","0.0","2.2","-","-222222222","0.2","0.3","-","-222222222","0.0","2.2","-","-222222222","0.0","2.2","-","-222222222","0.7","0.9","80536","129661","97.7","1.9","57295","4702","0.0","2.2","-","-222222222","25.5","4.0","64519","7500","47.9","4.7","57179","9127","26.6","3.5","35917","7875","1190","102","63476","7467","36.6","5.5","64375","8119","63.4","5.5","62222","12689","86.0","4.3","71492","8251","10.7","4.1","30156","18068","3.4","2.4","57750","17536","364","84","28750","7866","50.8","11.9","20114","5530","43.1","11.8","22159","8183","7.7","8.7","18393","6485","49.2","11.9","40469","13435","45.9","12.0","39375","9944","3.3","3.1","72857","29935","17.5","-888888888.0","(X)","-888888888","16.3","-888888888.0","(X)","(X)","21.4","-888888888.0","(X)","(X)",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","1954","115","50000","3639","96.5","3.1","49173","3286","0.0","1.8","-","-222222222","0.0","1.8","-","-222222222","0.6","1.0","-","-222222222","0.0","1.8","-","-222222222","1.7","2.5","-","-222222222","1.2","2.0","-","-222222222","3.4","3.1","61801","61650","96.0","3.1","49331","3290","5.0","3.4","31114","3901","19.0","4.0","62991","12377","39.4","4.2","62772","16607","36.7","3.4","38160","6204","1217","126","60466","7072","24.8","5.4","64821","26623","75.2","5.4","57448","8405","90.6","4.0","62426","4650","7.2","3.4","39808","7669","2.1","2.3","42500","1996","737","129","31208","3057","62.1","10.2","25278","7842","49.4","10.9","20778","3034","12.8","9.2","32389","6478","37.9","10.2","37138","13458","28.8","11.2","34722","6585","9.1","6.2","56042","20517","22.5","-888888888.0","(X)","-888888888","22.7","-888888888.0","(X)","(X)","20.2","-888888888.0","(X)","(X)",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1732","126","26641","3352","92.0","4.5","27354","3966","1.1","1.7","-","-222222222","0.8","1.2","-","-222222222","1.3","1.9","-","-222222222","0.0","2.0","-","-222222222","0.6","0.8","-","-222222222","4.3","3.9","12056","21138","1.0","1.0","45250","12162","91.5","4.5","27275","3891","6.1","3.8","18500","7376","31.3","5.9","26587","11488","37.6","6.5","35368","11324","24.9","4.3","25476","3089","913","144","30766","6342","45.1","10.0","25240","9349","54.9","10.0","37083","6090","59.9","10.8","42536","6229","29.5","9.3","21703","5050","10.6","7.4","16469","5520","819","164","19051","2798","48.4","10.6","17039","4375","46.8","10.9","17467","3903","1.6","2.6","-","-222222222","51.6","10.6","23160","6588","44.7","10.3","19605","8234","7.0","5.1","31406","14981","16.4","-888888888.0","(X)","-888888888","12.7","-888888888.0","(X)","(X)","17.0","-888888888.0","(X)","(X)",
"1400000US53003960400","Census Tract 9604, Asotin County, Washington","921","60","38980","6186","89.6","5.8","40321","5481","0.0","3.7","-","-222222222","0.7","1.0","-","-222222222","1.3","2.0","-","-222222222","0.0","3.7","-","-222222222","0.0","3.7","-","-222222222","8.5","5.8","30705","1941","0.9","4.2","2,500-","***","88.7","5.2","40456","4466","4.7","3.2","7850","1168","31.1","8.2","40560","12481","33.9","8.2","54500","8562","30.4","7.9","30789","2997","612","89","42750","14086","38.4","12.4","34491","45134","61.6","12.4","43438","12345","79.1","12.3","55000","12518","12.9","9.4","19219","23615","8.0","7.6","17014","24573","309","84","34125","6571","52.1","19.0","32154","2203","48.9","19.0","31888","1897","3.2","5.1","-","-222222222","47.9","19.0","40597","2028","41.1","20.4","40553","9079","6.8","9.2","40750","40110","19.2","-888888888.0","(X)","-888888888","21.1","-888888888.0","(X)","(X)","15.5","-888888888.0","(X)","(X)",
