"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0400000US53","Washington","2645396","5534","60294","265","83.0","0.1","61732","277","3.5","0.1","42120","1091","1.2","0.1","40218","1428","6.4","0.1","72430","1445","0.4","0.1","53904","4029","2.5","0.1","39321","869","3.0","0.1","52702","1407","7.7","0.1","42945","612","78.4","0.1","62818","318","4.5","0.1","29556","856","34.8","0.1","65189","489","39.3","0.1","72872","510","21.4","0.1","42749","298","1705647","6862","73039","460","44.5","0.2","68794","894","55.5","0.2","75939","437","77.1","0.3","84765","405","16.0","0.2","34612","530","6.9","0.2","48994","1078","939749","4943","37640","295","51.6","0.3","32738","349","42.1","0.3","28894","357","9.6","0.2","58866","1227","48.4","0.3","43837","464","36.1","0.3","38150","518","12.2","0.3","65055","1174","24.3","(X)","(X)","(X)","24.4","(X)","(X)","(X)","22.3","(X)","(X)","(X)",
"1400000US53001950100","Census Tract 9501, Adams County, Washington","1065","83","47148","5100","99.0","0.9","47576","4955","0.0","3.0","-","**","0.3","0.5","-","**","0.0","3.0","-","**","0.0","3.0","-","**","0.0","3.0","-","**","0.8","0.8","-","**","1.5","1.0","29000","14818","97.9","1.1","47917","4758","4.8","4.2","4952","41582","23.4","4.3","63750","15190","44.2","5.3","58068","10911","27.6","4.5","28750","8501","652","67","58056","9795","39.9","5.8","71250","14165","60.1","5.8","48906","9568","84.8","4.4","64018","8554","7.1","3.2","30938","6416","8.1","3.9","28750","11417","413","76","27279","6036","41.9","9.5","20536","7756","38.7","9.5","19792","6489","3.1","2.6","37917","18853","58.1","9.5","34000","19058","53.8","9.8","31250","24541","4.4","4.4","45250","27616","30.8","(X)","(X)","(X)","28.7","(X)","(X)","(X)","32.2","(X)","(X)","(X)",
"1400000US53001950200","Census Tract 9502, Adams County, Washington","666","57","47833","9993","93.7","2.6","50833","10321","0.0","4.8","-","**","0.2","0.2","-","**","0.3","0.5","-","**","0.0","4.8","-","**","4.8","2.6","23500","3735","1.1","1.1","30625","39494","7.7","4.2","26250","16113","91.1","4.1","50694","11976","1.4","1.7","-","**","25.4","5.1","64375","25054","45.9","7.5","56250","13480","27.3","5.9","23088","8495","471","55","59653","12960","43.9","7.1","63750","18075","56.1","7.1","58000","14949","84.5","5.8","70690","15660","8.9","4.6","17115","7551","6.6","4.1","40625","49174","195","48","17232","8009","56.4","12.9","9583","6685","51.8","12.6","9115","3628","4.6","4.0","28125","23245","43.6","12.9","22788","3295","32.8","14.1","22500","17034","10.8","6.5","23750","6962","22.4","(X)","(X)","(X)","23.6","(X)","(X)","(X)","19.5","(X)","(X)","(X)",
"1400000US53001950300","Census Tract 9503, Adams County, Washington","1785","116","45568","14343","59.2","6.9","49323","16490","0.0","1.8","-","**","0.7","1.2","-","**","0.6","0.9","-","**","0.0","1.8","-","**","35.9","6.6","39643","15371","3.6","2.6","115521","16014","70.0","5.5","40203","11988","28.5","5.2","61875","26470","2.4","2.7","-","**","44.8","5.8","41422","9809","37.2","5.7","58571","13291","15.6","3.3","46818","33731","1521","125","48906","11501","60.7","7.9","41287","9713","39.3","7.9","54873","17267","74.2","7.0","54386","8766","14.2","6.4","32813","12424","11.6","5.2","44148","18513","264","105","30526","4699","42.4","19.8","23750","22522","28.8","18.0","23875","18541","13.6","14.2","-","**","57.6","19.8","31842","122383","42.0","17.1","29458","88220","15.5","16.0","115781","109815","41.0","(X)","(X)","(X)","40.1","(X)","(X)","(X)","37.5","(X)","(X)","(X)",
"1400000US53001950400","Census Tract 9504, Adams County, Washington","892","78","40975","4591","73.8","7.8","43684","6079","0.0","3.6","-","**","0.0","3.6","-","**","1.6","2.0","-","**","0.0","3.6","-","**","22.4","8.0","18594","16088","2.2","3.3","-","**","61.2","7.2","33913","11399","37.0","7.5","48409","5450","11.9","5.2","13393","12727","45.4","7.6","41188","13829","21.0","4.6","64115","13066","21.7","4.7","30000","19096","675","78","43125","7804","60.0","6.8","34013","11263","40.0","6.8","49662","7113","62.5","9.4","55500","11566","32.0","9.0","18542","12688","5.5","4.5","83542","101447","217","78","27404","17621","61.8","19.7","35227","21669","61.8","19.7","35227","21669","0.0","13.9","-","**","38.2","19.7","24760","27802","28.1","17.6","23702","6191","10.1","12.0","-","**","31.7","(X)","(X)","(X)","24.3","(X)","(X)","(X)","40.6","(X)","(X)","(X)",
"1400000US53001950500","Census Tract 9505, Adams County, Washington","1419","96","44472","7590","58.5","9.9","45182","4969","0.0","2.3","-","**","0.0","2.3","-","**","1.5","1.3","160179","271953","0.0","2.3","-","**","35.5","10.0","32857","15271","4.5","4.0","60214","15157","73.0","5.7","38958","13656","26.1","5.7","56029","18939","3.1","2.8","51354","2660","58.1","6.3","42824","15144","22.3","5.1","57500","10034","16.5","3.2","23333","16803","1203","105","44861","7631","66.6","6.5","37063","14048","33.4","6.5","52500","14968","72.1","10.2","49219","4405","18.1","8.1","31346","9567","9.8","6.8","21932","27399","216","87","30179","15086","52.3","20.5","17113","6086","47.2","20.9","17440","11469","5.1","8.7","-","**","47.7","20.5","45625","18212","40.3","21.0","46534","22899","7.4","10.9","-","**","31.1","(X)","(X)","(X)","30.3","(X)","(X)","(X)","19.4","(X)","(X)","(X)",
"1400000US53003960100","Census Tract 9601, Asotin County, Washington","1672","110","65278","8558","95.6","2.5","64500","8819","0.0","1.9","-","**","0.0","1.9","-","**","1.8","1.6","-","**","0.8","1.3","-","**","0.1","0.2","-","**","1.7","1.2","17917","110264","0.5","0.5","2,500-","***","95.3","2.7","64833","8821","0.7","0.7","40536","20897","24.0","4.7","56518","12771","42.8","4.2","69667","9907","32.5","4.3","50625","28134","1267","107","71776","9588","28.7","5.7","65000","20716","71.3","5.7","75208","9901","86.7","4.2","80560","9721","8.6","3.6","23105","10372","4.7","2.4","49875","15885","405","90","30469","4191","55.8","10.8","25500","7522","50.1","10.8","24917","7460","5.7","6.0","-","**","44.2","10.8","36250","12848","36.3","11.2","37639","13817","7.9","6.4","17917","79650","27.9","(X)","(X)","(X)","26.7","(X)","(X)","(X)","31.6","(X)","(X)","(X)",
"1400000US53003960200","Census Tract 9602, Asotin County, Washington","2091","103","51695","4267","96.5","2.1","50719","4452","0.0","1.5","-","**","0.0","1.5","-","**","0.6","0.8","-","**","0.0","1.5","-","**","0.4","0.7","-","**","2.4","1.7","110365","52832","1.8","1.6","88167","50829","95.1","2.6","50428","4321","1.1","1.6","-","**","14.1","3.1","78654","11399","45.3","4.5","61569","19501","39.5","4.5","36542","12120","1348","121","61250","11186","26.6","4.8","60536","19462","73.4","4.8","61734","17898","82.8","8.5","73611","14602","7.3","4.7","45227","21767","9.9","6.7","42727","12016","743","122","26741","15823","66.5","11.6","23333","15061","60.4","11.6","21967","7062","6.1","3.6","52426","2328","33.5","11.6","44063","60710","31.9","11.5","60625","85044","1.6","2.5","-","**","22.6","(X)","(X)","(X)","18.3","(X)","(X)","(X)","27.2","(X)","(X)","(X)",
"1400000US53003960300","Census Tract 9603, Asotin County, Washington","1549","106","28863","2997","93.7","3.1","28900","3068","2.3","2.2","5625","9877","1.2","1.2","-","**","0.6","0.9","-","**","0.0","2.1","-","**","0.3","0.4","-","**","1.9","1.7","170156","169650","1.7","1.6","38500","15723","92.8","3.3","28713","2985","5.9","3.5","12431","8571","31.7","5.9","31635","11664","39.7","6.8","26789","10064","22.7","5.4","28704","5727","746","100","41905","6527","50.8","10.3","48490","17654","49.2","10.3","38906","4499","66.0","10.3","47763","7955","25.7","8.9","26296","4294","8.3","5.6","36250","42268","803","99","19961","6328","47.9","10.9","16964","8335","37.6","8.9","9972","6679","10.3","6.5","31063","25315","52.1","10.9","22703","7745","46.6","10.9","23243","6542","5.5","5.7","2,500-","***","18.5","(X)","(X)","(X)","27.3","(X)","(X)","(X)","10.3","(X)","(X)","(X)",
