"","geo_id","med_income_2010","med_income_2011","med_income_2012","med_income_2013","med_income_2014","med_income_2015","med_income_2016","med_income_2017","med_income_2018","med_income_2019","med_income_2020","med_income_2021","med_income_2022","med_income_2023","med_income_2024"
"1","0400000US53",57244,58890,59374,59478,60294,61062,62848,66174,70116,73775,77006,82400,90325,94952,98141
"2","1400000US53001950100",42039,43575,44282,43934,47148,47535,47250,44444,47813,48561,52589,56458,65625,66953,68750
"3","1400000US53001950200",44828,40395,36371,46761,47833,52500,54667,59479,49261,56734,59886,62794,68083,73125,72500
"4","1400000US53001950300",41686,42393,42391,45600,45568,39276,40992,41875,44107,43658,NA,NA,NA,NA,NA
"5","1400000US53001950400",39013,41821,42193,39559,40975,41522,36372,37500,47036,46412,63750,67188,54214,56500,59155
"6","1400000US53001950500",35529,35305,39375,45721,44472,50870,54969,52566,54223,51543,48542,57683,64711,66230,67255
"7","1400000US53003960100",57091,56969,59301,60574,65278,66613,66579,68750,67386,78375,73942,77500,79663,82015,87063
"8","1400000US53003960200",50000,48333,51297,52000,51695,52232,59554,53704,52295,58260,72988,68016,73906,84844,89648
"9","1400000US53003960300",26641,29375,29779,29597,28863,27809,27865,31042,33364,36834,38077,41932,55950,61364,62500
"10","1400000US53003960400",38980,40054,36831,40278,41332,44750,43125,45568,46691,41488,38777,41579,48333,52647,55236
"11","1400000US53003960500",36802,35287,31765,31265,31711,35938,34947,41204,41849,41771,42639,47375,58137,53839,53977
"12","1400000US53003960600",50852,58305,54259,43865,40273,41050,45410,50313,58155,65000,53947,51799,46994,55403,59797
"13","1400000US53005010100",106841,102011,91429,90347,90714,97552,107649,113348,115750,115852,104500,94620,101667,110294,114722
"14","1400000US53005010201",63388,60208,62241,69267,78716,78894,91638,94149,99353,101417,94250,102168,104861,107963,111237
"15","1400000US53005010202",47216,50938,52500,48325,50464,51402,50817,45423,49688,53299,NA,NA,NA,NA,NA
"16","1400000US53005010300",54907,55931,57165,58042,58358,59769,62500,59851,61875,67976,72500,81565,85786,81379,84368
"17","1400000US53005010400",43404,41113,45495,44551,46366,43605,45409,45250,55625,60046,67074,67611,78098,80975,88125
"18","1400000US53005010500",50485,52154,53750,53017,59297,57228,59063,58333,60655,55048,61801,70403,80486,82065,85268
"19","1400000US53005010600",47019,49557,48010,47936,48306,46278,48168,51612,52705,53915,56544,58125,60769,62899,71250
"20","1400000US53005010701",78250,75603,77386,84926,82917,74286,64809,64844,66831,66276,70750,79896,89938,101726,115100
"21","1400000US53005010703",41637,38822,45924,47487,47221,47009,52083,51058,56136,66346,67500,69677,79236,61833,79318
"22","1400000US53005010705",98710,102932,103987,94831,95461,96026,96602,101098,111917,118348,115660,112415,126065,120278,119968
"23","1400000US53005010707",78665,81284,83036,87941,96779,99632,101053,101927,103802,106402,111108,119732,136739,141630,143636
"24","1400000US53005010708",56447,74333,85221,71307,61410,66641,66198,82083,86864,103182,107670,116250,134310,144844,131154
"25","1400000US53005010803",102746,101610,101739,101628,96860,95219,91473,98542,105200,106686,NA,NA,NA,NA,NA
"26","1400000US53005010805",73793,85898,89529,91166,92729,94523,91053,93790,92356,95417,NA,NA,NA,NA,NA
"27","1400000US53005010807",85875,63551,64743,64846,79107,66477,93098,74583,82500,84940,106607,112135,130208,124906,135313
"28","1400000US53005010809",64245,62317,63984,63112,62525,61578,60854,61839,65543,67336,75688,78542,83558,87570,81108
"29","1400000US53005010810",101346,102902,93696,88542,89375,84034,88453,90563,93508,88750,96458,100848,107614,115345,115509
"30","1400000US53005010811",112431,122529,123162,127358,128100,134396,130000,114167,141705,159539,166446,174609,191023,199234,162500
"31","1400000US53005010813",79091,80758,81471,82158,83544,80543,80585,83814,80335,81866,NA,NA,NA,NA,NA
"32","1400000US53005010814",101338,105640,114750,118688,116667,108478,117535,122027,125766,135350,148194,146804,158625,159732,147978
"33","1400000US53005010901",42582,39434,39874,44091,45536,47031,45667,44297,32263,48068,58888,61069,65574,70537,63002
"34","1400000US53005010902",36438,37355,39982,39357,39144,43750,40854,48803,48456,51710,55381,57673,66235,70092,74649
"35","1400000US53005011001",36005,37560,37813,37572,43657,47687,50139,50758,49779,50252,55609,59215,64812,66353,66891
"36","1400000US53005011002",39539,41982,43188,42759,39382,39103,39578,37861,38906,42344,45667,46861,51924,54789,57222
"37","1400000US53005011100",52618,51442,50930,51538,55487,54530,54647,59953,61149,62133,64106,64034,68670,70861,72500
"38","1400000US53005011200",24896,23180,22835,23184,24671,24086,24120,27032,32581,32240,NA,NA,NA,NA,NA
"39","1400000US53005011300",27030,28058,31657,33166,32666,33714,33427,35625,37333,48179,45769,53070,63250,71111,61452
"40","1400000US53005011401",37090,38636,37206,40240,37211,35250,30625,31567,31518,34333,46786,48933,58625,56842,60147
"41","1400000US53005011402",81838,84199,88350,84148,75263,72344,76012,79375,81765,84052,86694,90525,95083,102829,103592
"42","1400000US53005011501",58088,60673,55112,58750,56025,63571,62396,70446,70859,73554,69093,76600,81806,84030,90823
"43","1400000US53005011503",76138,78566,80734,82587,83613,80212,81763,84263,83807,85718,NA,NA,NA,NA,NA
"44","1400000US53005011504",71429,75710,75688,78444,78750,79222,74531,73281,75743,90433,80849,84872,89886,87151,98993
"45","1400000US53005011600",45179,47614,36912,37969,42438,56923,59583,60673,67888,65089,66607,74671,80625,67083,73864
"46","1400000US53005011700",44597,50982,51044,55134,55386,53873,53919,55768,55417,52208,NA,NA,NA,NA,NA
"47","1400000US53005011800",52739,54624,55278,53917,54810,50372,53906,55841,59066,61140,NA,NA,NA,NA,NA
"48","1400000US53005011900",47175,47043,49627,52929,51250,49619,54390,53438,58808,60250,58853,59952,61956,66734,69877
"49","1400000US53007960100",48173,51117,51303,51321,46429,50638,47644,41164,44141,56433,49844,72574,83000,79942,84188
"50","1400000US53007960200",46810,46250,46719,49706,47298,50470,50255,50737,54792,62951,NA,NA,NA,NA,NA
"51","1400000US53007960300",45573,49661,46990,50099,38317,49063,47863,52544,55188,55812,NA,NA,NA,NA,NA
"52","1400000US53007960400",46492,44144,42839,44357,44334,45909,54841,68431,56635,49816,51719,55292,60159,72734,76910
"53","1400000US53007960500",60158,60331,62240,60938,62367,61287,59306,63237,63000,67243,NA,NA,NA,NA,NA
"54","1400000US53007960600",45854,45637,45278,46750,49688,53511,51722,52875,52995,58036,52440,55625,61790,67356,65625
"55","1400000US53007960700",87372,88782,76667,74531,74886,79395,81105,87115,95385,96076,100444,108750,124837,130208,135000
"56","1400000US53007960801",60833,71121,64865,63942,65135,65862,62833,65968,68925,70357,72036,91912,100323,105820,88365
"57","1400000US53007960802",41387,43097,44389,46563,49577,43846,41504,47145,45825,48079,NA,NA,NA,NA,NA
"58","1400000US53007961000",38142,40065,39427,40005,37036,35505,33048,33791,41400,43271,NA,NA,NA,NA,NA
"59","1400000US53007961100",42374,43731,46394,50152,51232,52929,53359,55731,54298,53027,NA,NA,NA,NA,NA
"60","1400000US53007961200",63617,64172,60994,60203,59286,58182,61555,65795,67382,77500,83948,93464,95746,97984,91228
"61","1400000US53007961301",75663,67234,80680,70060,68922,68879,71406,62250,73393,69861,71484,72688,93889,108750,117875
"62","1400000US53007961302",49030,48613,53650,54361,52043,53780,54280,52148,58158,66772,NA,NA,NA,NA,NA
"63","1400000US53009000200",50430,51281,37989,38523,42500,43750,41900,43523,49833,44844,NA,NA,NA,NA,NA
"64","1400000US53009000300",46789,45441,44526,39015,37128,35075,33359,37015,36960,39336,32489,39838,41922,46722,60769
"65","1400000US53009000400",45341,39848,43643,41680,50476,42394,45921,51375,53393,62692,NA,NA,NA,NA,NA
"66","1400000US53009000600",53241,48571,45984,46439,46495,50000,53833,60800,63894,68950,59453,61630,58086,58750,63074
"67","1400000US53009000700",49565,56875,60845,61574,61161,56842,54152,53102,56908,58690,60839,61796,64375,69375,70806
"68","1400000US53009000800",38697,38853,39634,39614,40815,45156,45934,48534,48861,47292,55383,59286,63772,62382,62344
"69","1400000US53009000900",31347,33574,35357,34390,36736,39338,37114,34726,38351,37639,38250,47896,56122,59757,62135
"70","1400000US53009001000",32868,38250,37321,34375,31188,33712,32629,38563,38000,43545,44028,42738,45565,44420,37736
"71","1400000US53009001100",49868,53319,46169,45282,51750,47093,46597,48409,52670,52929,51835,53026,63009,61629,71157
"72","1400000US53009001200",38571,38018,38355,34504,33803,35625,36410,35825,42450,51607,52533,55883,62939,65845,66738
"73","1400000US53009001300",46389,44450,49875,46574,51742,53083,52633,47245,49111,48323,49934,57375,61042,68906,68657
"74","1400000US53009001400",56378,61500,59701,59250,62899,64159,64430,71188,69920,70152,70609,73500,74304,88429,90184
"75","1400000US53009001500",49427,58304,51875,53938,50134,55729,54044,57574,60043,61125,64306,69500,79226,77727,77895
"76","1400000US53009001600",44913,44848,46136,49837,52581,51464,51953,49964,48028,49141,52073,54627,65197,70738,75284
"77","1400000US53009001700",39678,42423,44321,44479,46563,46890,47946,48044,52805,53854,NA,NA,NA,NA,NA
"78","1400000US53009001800",50864,49205,46981,47098,48109,53665,54387,57031,60294,64672,64609,65127,67813,69010,70921
"79","1400000US53009001900",54977,57568,61095,58178,57282,52314,52943,56042,59683,66114,NA,NA,NA,NA,NA
"80","1400000US53009002000",46897,46188,47380,49237,48434,48098,48803,48370,49730,52488,NA,NA,NA,NA,NA
"81","1400000US53009002100",31104,37857,31477,36490,31476,31128,32344,32407,31342,36023,34663,38343,42699,44155,49542
"82","1400000US53009002300",50350,50677,50015,47396,51591,54702,58475,54173,54968,52019,NA,NA,NA,NA,NA
"83","1400000US53009940000",32069,35625,32153,31607,35667,35956,35284,37857,40481,44464,48250,50450,65208,60227,55250
"84","1400000US53011040101",65853,70543,64199,60816,57500,59726,62083,66250,68000,79125,77227,76845,86175,95197,93924
"85","1400000US53011040102",54824,56220,56726,54335,65612,66089,69129,71887,70990,73900,74766,88971,108026,116571,104219
"86","1400000US53011040201",68357,68542,70618,71768,67389,69479,70256,77383,80694,89068,99004,104925,108242,124044,110365
"87","1400000US53011040202",66042,66028,64760,70476,69688,65625,73614,75767,77656,90541,87188,95372,95598,97260,104345
"88","1400000US53011040203",67484,78224,75272,73872,77917,78015,79393,86316,88100,88005,98508,103560,104430,112984,119043
"89","1400000US53011040301",54773,53558,64375,71500,82422,82396,85598,84142,95739,108875,111667,116625,123438,129125,113250
"90","1400000US53011040302",83665,88373,88221,85833,91758,90213,92002,102917,99531,102056,NA,NA,NA,NA,NA
"91","1400000US53011040403",75703,77944,71696,75536,61367,74286,72554,84375,90813,92546,94500,101082,113375,123472,118750
